EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
NSE,D,72582,OPTIDX,29 Sep 2026,MIDCPNIFTY-Sep2026-12650-PE,120,MIDCPNIFTY 29 SEP 12650 PE,09/29/2026 14:00,12650.00000,PE,5,M,OPTIDX,,
NSE,D,90580,OPTSTK,28 Jul 2026,EXIDEIND-Jul2026-330-PE,1800,EXIDEIND 28 JUL 330 PE,07/28/2026 14:00,330.00000,PE,5,M,OPTSTK,,
NSE,D,113670,OPTSTK,25 Aug 2026,IEX-Aug2026-132.5-CE,4350,IEX 25 AUG 132.5 CE,08/25/2026 14:00,132.50000,CE,1,M,OPTSTK,,
NSE,D,105360,OPTSTK,25 Aug 2026,IDFCFIRSTB-Aug2026-88-CE,9275,IDFCFIRSTB 25 AUG 88 CE,08/25/2026 14:00,88.00000,CE,1,M,OPTSTK,,
NSE,D,61481,OPTIDX,28 Jul 2026,BANKNIFTY-Jul2026-42400-CE,30,BANKNIFTY 28 JUL 42400 CE,07/28/2026 14:00,42400.00000,CE,5,M,OPTIDX,,
NSE,D,119226,OPTSTK,25 Aug 2026,JSWSTEEL-Aug2026-640-PE,675,JSWSTEEL 25 AUG 640 PE,08/25/2026 14:00,640.00000,PE,5,M,OPTSTK,,
NSE,D,38531,OPTSTK,28 Jul 2026,DRREDDY-Jul2026-1960-CE,625,DRREDDY 28 JUL 1960 CE,07/28/2026 14:00,1960.00000,CE,5,M,OPTSTK,,
NSE,D,144976,OPTSTK,25 Aug 2026,SHRIRAMFIN-Aug2026-1000-PE,825,SHRIRAMFIN 25 AUG 1000 PE,08/25/2026 14:00,1000.00000,PE,5,M,OPTSTK,,
NSE,D,130038,OPTSTK,25 Aug 2026,NTPC-Aug2026-375-PE,1500,NTPC 25 AUG 375 PE,08/25/2026 14:00,375.00000,PE,5,M,OPTSTK,,
NSE,D,101764,OPTSTK,25 Aug 2026,DRREDDY-Aug2026-1670-PE,625,DRREDDY 25 AUG 1670 PE,08/25/2026 14:00,1670.00000,PE,5,M,OPTSTK,,
NSE,D,42441,OPTSTK,29 Sep 2026,CONCOR-Sep2026-280-CE,1250,CONCOR 29 SEP 280 CE,09/29/2026 14:00,280.00000,CE,5,M,OPTSTK,,
NSE,D,119608,OPTSTK,25 Aug 2026,KALYANKJIL-Aug2026-275-CE,1350,KALYANKJIL 25 AUG 275 CE,08/25/2026 14:00,275.00000,CE,5,M,OPTSTK,,
NSE,D,113927,OPTSTK,25 Aug 2026,KALYANKJIL-Aug2026-370-CE,1350,KALYANKJIL 25 AUG 370 CE,08/25/2026 14:00,370.00000,CE,5,M,OPTSTK,,
NSE,D,146471,OPTSTK,25 Aug 2026,SBIN-Aug2026-620-PE,750,SBIN 25 AUG 620 PE,08/25/2026 14:00,620.00000,PE,5,M,OPTSTK,,
NSE,D,88306,OPTSTK,25 Aug 2026,BAJAJHLDNG-Aug2026-10100-CE,75,BAJAJHLDNG 25 AUG 10100 CE,08/25/2026 14:00,10100.00000,CE,5,M,OPTSTK,,
NSE,D,92806,OPTSTK,28 Jul 2026,GLENMARK-Jul2026-1960-PE,375,GLENMARK 28 JUL 1960 PE,07/28/2026 14:00,1960.00000,PE,5,M,OPTSTK,,
NSE,D,103325,OPTSTK,28 Jul 2026,IEX-Jul2026-180-CE,4350,IEX 28 JUL 180 CE,07/28/2026 14:00,180.00000,CE,1,M,OPTSTK,,
NSE,D,90370,OPTSTK,28 Jul 2026,EICHERMOT-Jul2026-7650-CE,100,EICHERMOT 28 JUL 7650 CE,07/28/2026 14:00,7650.00000,CE,5,M,OPTSTK,,
NSE,D,42415,OPTSTK,28 Jul 2026,COLPAL-Jul2026-1420-CE,275,COLPAL 28 JUL 1420 CE,07/28/2026 14:00,1420.00000,CE,5,M,OPTSTK,,
BSE,D,848822,OPTIDX,13 Aug 2026,SENSEX-13Aug2026-74600-PE,20,SENSEX 13 AUG 74600 PE,08/13/2026 14:00,74600.00000,PE,5,W,OPTIDX,,BSXOPT
NSE,D,60793,OPTSTK,25 Aug 2026,RBLBANK-Aug2026-470-PE,3175,RBLBANK 25 AUG 470 PE,08/25/2026 14:00,470.00000,PE,5,M,OPTSTK,,
NSE,D,43253,OPTSTK,25 Aug 2026,PNB-Aug2026-69-PE,8000,PNB 25 AUG 69 PE,08/25/2026 14:00,69.00000,PE,1,M,OPTSTK,,
